exchange_name,address,type
Binance,1F1tAaz5x1HUXrCNLbtMDqcw6o5GNn4xqX,hot_wallet
Binance,3P14159f73E4gFrCh2HRze1k41v22b2p7g,cold_wallet
Binance,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,hot_wallet
Binance,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,segwit_hot
Bitfinex,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,hot_wallet
Bitfinex,3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,cold_wallet
Kraken,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,cold_wallet
Kraken,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,segwit_hot
Coinbase,3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,cold_wallet
Coinbase,bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,segwit_hot
